DATABASE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Ref,Project name,Country,Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,,,,
,,,,,,,Technology Comments,Type of electricity (for electrolysis projects),"If dedicated renewables, type of renewable",,Refining,Ammonia,Methanol,Iron&Steel,Other Ind,Mobility,Power,Grid inj.,CHP,Domestic heat,Biofuels,Synfuels,CH4 grid inj.,CH4 mobility,,MWel,Nm³ H₂/h,kt H2/y,t CO₂ captured/y,,,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,Technology_aggregate,Capacity factor
Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],References,Latitude,Longitude,Dummy_1,LOWE_CF
,Other projects from confidential sources (post-2024),,,,Other,NG w CCUS,,,,,,,,,,,,,,,,,,,2756 kt H2/y,,3535952.2382448437,2756.76980302521,,0,,,,Fossil fuels with CCUS,
,Other projects from confidential sources (post-2024),,,,Other,Other,Various types,,,,,,,,,,,,,,,,,,488 kt H2/y,,625564.8931191857,487.71541327144195,,0,,,,Other,
,Other projects from confidential sources (post-2024),,,,Other,Other Electrolysis,Various types,,,,,,,,,,,,,,,,,,17.4GW,17443.883124189444,3876418.472042099,3022.210897542902,,3876418.472042099,,,,Electrolysis,
,Other projects from confidential sources (2000-2024),,,,Operational,PEM,,,,,,,,,,,,,,,,,,,7MW,6.541399999999999,1257.9615384615383,0.9807571338461536,,1257.9615384615383,,,,Electrolysis,
,Other projects from confidential sources (2000-2024),,,,Operational,ALK,,,,,,,,,,,,,,,,,,,141.7MW,141.76015428659377,30817.42484491169,24.026497106086946,,30817.42484491169,,,,Electrolysis,
,Non-energy related projects (2000-2024),,,,Operational,ALK & PEM,,,,,,,,,,,,,,,,,,,78MW,78.3938000000001,,,,0,,,,Electrolysis,
,Non-energy related projects (post-2024),,,,Other,ALK,,,,,,,,,,,,,,,,,,,46MW,46.55634404362967,,,,0,,,,Electrolysis,
3,H2GO Energy Park Oude-Tonge - 1st phase,NLD,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,2.5MW,2.5,555.5555555555555,0.4331333333333333,,555.5555555555555,[503][630][609],51.7033128995464,4.16253562875509,Electrolysis,0.5
4,H2GO Energy Park Oude-Tonge - 2nd phase,NLD,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,26MW,23.5,5222.222222222223,4.071453333333333,,5222.222222222223,[503][630][609],51.7033128995464,4.16253562875509,Electrolysis,0.5
5,"NortH2, phase 1",NLD,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,1,,,,1,,,,,,,,,,4GW,4000,888888.888888889,693.0133333333333,,888888.888888889,[379],53.4652079383533,6.6329845630844,Electrolysis,0.55
6,Norsk e-Fuel Phase 1,NOR,2028,,FID/Construction,SOEC,,Dedicated renewable,Others/Various,Synfuels,,,,,,,,,,,,1,,,12.5 million litres of synthetic kerosene per year production,50.26358319224258,13227.258734800678,10.3125,,13227.258734800678,[414] [521][1288][1449] [1693],65.8405002614236,13.1952674023743,Electrolysis,0.5
7,Norsk e-Fuel Phase 2,NOR,2028,,Feasibility study,SOEC,,Dedicated renewable,Others/Various,Synfuels,,,,,,,,,,,,1,,,25 million litres of synthetic kerosene per year production,50.26358319224258,13227.258734800678,10.3125,,13227.258734800678,[414] [521][1288],65.8405002614236,13.1952674023743,Electrolysis,0.5
8,HYBRIT pilot,SWE,2021,,Operational,ALK,,Grid,,H2,,,,1,,,,,,,,,,,4.5MW,4.5,978.2608695652174,0.7626913043478261,,978.2608695652174,[299] [340] [434] [576] [2224],65.5854558141391,22.1576613609812,Electrolysis,0.57
9,HYBRIT demo,SWE,2025,,FID/Construction,ALK,,Grid,,H2,,,,1,,,,,,,,,,,500 MW - 1.3 Mt DRI,500,108695.65217391304,84.74347826086957,,108695.65217391304,[299] [340][1108],65.5854558141391,22.1576613609812,Electrolysis,0.57
